timestamp,ask_price_0,ask_vol_0,bid_price_0,bid_vol_0,ask_price_1,ask_vol_1,bid_price_1,bid_vol_1,ask_price_2,ask_vol_2,bid_price_2,bid_vol_2,ask_price_3,ask_vol_3,bid_price_3,bid_vol_3,ask_price_4,ask_vol_4,bid_price_4,bid_vol_4,ask_price_5,ask_vol_5,bid_price_5,bid_vol_5,ask_price_6,ask_vol_6,bid_price_6,bid_vol_6,ask_price_7,ask_vol_7,bid_price_7,bid_vol_7,ask_price_8,ask_vol_8,bid_price_8,bid_vol_8,ask_price_9,ask_vol_9,bid_price_9,bid_vol_9
1777502575264,75934.0,1.55913,75933.99,0.30323,75934.01,0.00022,75933.98,0.00071,75934.21,0.00014,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.46,0.00014,75933.02,0.00353,75934.47,0.03694,75933.01,0.00313,75934.6,0.00022,75932.81,0.00014,75934.61,0.23371,75932.8,0.00007,75934.62,0.00014,75932.37,0.00022,75934.63,0.08686,75932.36,0.0728
1777502575364,75934.0,1.55913,75933.99,0.29984,75934.01,0.00022,75933.98,0.00071,75934.21,0.00014,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.46,0.00014,75933.02,0.00353,75934.47,0.03694,75933.01,0.00313,75934.6,0.00022,75932.81,0.00014,75934.61,0.23371,75932.8,0.00007,75934.62,0.00014,75932.37,0.00022,75934.63,0.08686,75932.36,0.0728
1777502575464,75934.0,1.55913,75933.99,0.29984,75934.01,0.00022,75933.98,0.00071,75934.21,0.00014,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.46,0.00014,75933.02,0.00353,75934.47,0.03694,75933.01,0.00313,75934.6,0.00022,75932.81,0.00014,75934.61,0.23371,75932.8,0.00007,75934.62,0.00014,75932.37,0.00022,75934.63,0.08686,75932.36,0.0728
1777502575564,75934.0,1.55913,75933.99,0.02182,75934.01,0.00022,75933.98,0.00078,75934.05,0.04886,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,0.23371,75932.81,0.00014,75934.62,0.00027,75932.8,0.00007,75934.63,0.08686,75932.37,0.00022,75934.75,0.00007,75932.36,0.0728
1777502575663,75934.0,1.68401,75933.99,0.00786,75934.01,0.00022,75933.98,0.00078,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.62,0.00027,75932.8,0.00007,75934.63,0.07632,75932.37,0.00022,75934.75,0.00007,75932.36,0.07287
1777502575764,75934.0,1.67101,75933.99,0.00779,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07639,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502575864,75934.0,1.57847,75933.99,0.03689,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07639,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502575965,75934.0,1.57189,75933.99,0.29835,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07639,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502576064,75934.0,1.67097,75933.99,0.29834,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07639,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07294
1777502576164,75934.0,1.67097,75933.99,0.29834,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07639,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502576264,75934.0,1.67097,75933.99,0.29834,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07639,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502576363,75934.0,1.67097,75933.99,0.29841,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07625,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07294
1777502576464,75934.0,1.67097,75933.99,0.29841,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07625,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502576564,75934.0,1.67104,75933.99,0.29724,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07625,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502576663,75934.0,1.67104,75933.99,0.29724,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07625,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502576764,75934.0,1.68799,75933.99,0.29724,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07625,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502576864,75934.0,1.68799,75933.99,0.29724,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07625,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502576965,75934.0,1.68799,75933.99,0.29724,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07625,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502577064,75934.0,1.68799,75933.99,0.29716,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07625,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
